Family_ch,Alphabet,scientific_name
尺蛾科,L,Lobogonia aculeata
夜蛾科,M,Mythimna yu
裳蛾科,M,Mecodina praecipua
夜蛾科,M,Mythimna albomarginata rubea
天蛾科,N,Neogurelca himachala sangaica
草螟蛾科,C,Circobotys aurealis
裳蛾科,N,Nyctemera albofasciata
裳蛾科,C,Cyana propinqua
舞蛾科,C,Choreutis sexfasciella
裳蛾科,A,Amsactoides solitaria
裳蛾科,M,Miltochrista ziczac
折角蛾科,D,Deltoplastis commatopa
舟蛾科,S,Syntypistis cyanea cyanea
鉤蛾科,N,Neoreta purpureofascia
刺蛾科,P,Phlossa conjuncta
尺蛾科,P,Percnia luridaria nominoneura
裳蛾科,C,Churinga virago
裳蛾科,S,Semiothisops macariata
裳蛾科,M,Matsumursine horishanella
刺蛾科,N,Narosa nigrisigna
夜蛾科,E,Exsula albomaculata
鉤蛾科,T,Tridrepana arikana
舟蛾科,C,Chadisra bipars
裳蛾科,O,Olene baibarana
舟蛾科,M,Mesophalera sigmata
尺蛾科,C,Collix stellata
尺蛾科,C,Chorodna ochreimacula
裳蛾科,M,Mecodina subcostalis
刺蛾科,S,Sansarea formosana
燕蛾科,W,Warreniplema fumicosta
燕蛾科,P,Pseudomicronia advocataria
刺蛾科,T,Thosea sinensis
尺蛾科,E,Entomopteryx combusta
天蛾科,T,Theretra oldenlandiae oldenlandiae
尺蛾科,X,Xandrames dholaria
尺蛾科,S,Scopula propinquaria
尺蛾科,X,Xerodes albonotaria aritai
舟蛾科,D,Dudusa synopla
刺蛾科,S,Setora postornata
裳蛾科,D,Dichromia trigonalis
草螟蛾科,A,Aethaloessa calidalis tiphalis
裳蛾科,E,Eressa confinis finitima
裳蛾科,P,Parallelia stuposa
天蛾科,R,Rhagastis castor formosana
尺蛾科,P,Psilalcis breta rantaizana
草螟蛾科,P,Paracymoriza nigra
尺蛾科,T,Thinopteryx nebulosa
枯葉蛾科,B,Bharetta owadai
螟蛾科,D,Doloessa viridis
夜蛾科,T,Trisuloides sericea
裳蛾科,B,Blasticorhinus bifasciata
裳蛾科,A,Aemene taiwana
枯葉蛾科,C,Cosmotriche discitincta discitincta
鉤蛾科,S,Sewa taiwana
尺蛾科,H,Hypocometa clauda
尺蛾科,G,Gnophos delitescens
裳蛾科,G,Goniocraspidum pryeri
裳蛾科,L,Lymantria iris
舟蛾科,C,Chadisra bipartita
天蛾科,M,Macroglossum fritzei
裳蛾科,A,Arna bipunctapex
鉤蛾科,O,Oreta loochooana
尺蛾科,C,Chrysocraspeda sanguinea
夜蛾科,P,Phlogophora albovittata
舟蛾科,S,Stauropus alternus alternus
鉤蛾科,H,Horithyatira decorata takamukui
夜蛾科,A,Acronicta intermedia
尺蛾科,U,Uliura infausta
尺蛾科,O,Opisthograptis punctilineata
捲葉蛾科,A,Arcesis threnodes
折角蛾科,T,Tisis mesozosta
螟蛾科,A,Arctioblepsis rubida
裳蛾科,R,Rusicada fulvida
裳蛾科,P,Parolulis renalis
裳蛾科,H,Hyperlopha compactilis
裳蛾科,H,Hypena albopunctalis
裳蛾科,E,Euproctis croceola
舟蛾科,F,Formofentonia orbifer rotundata
夜蛾科,D,Diarsia subtincta
舟蛾科,M,Methodioptera bruno
天蛾科,A,Ambulyx sericeipennis
尺蛾科,Z,Ziridava kanshireiensis
裳蛾科,S,Sinarella nigrisigna
尺蛾科,C,Comibaena procumbaria
天蛾科,D,Daphnis nerii
斑蛾科,M,Milleria formosana contradicta
裳蛾科,E,Euproctis inornata
天蛾科,M,Macroglossum corythus corythus
草螟蛾科,A,Analyta apicalis
草螟蛾科,P,Patania iopasalis
裳蛾科,O,Ophiusa trapezium
尺蛾科,A,Agathia laetata
尺蛾科,P,Plesiomorpha flaviceps
刺蛾科,D,Demonarosa rufotessellata subrosea
舟蛾科,R,Ramesa albistriga
刺蛾科,N,Nagodopsis shirakiana
裳蛾科,G,Gonitis mesogona
裳蛾科,H,Herminia undulata
夜蛾科,P,Plusiopalpa adrasta shisa
天蛾科,M,Macroglossum divergens heliophila
尺蛾科,S,Spaniocentra hollowayi
天蠶蛾科,A,Antheraea formosana
裳蛾科,A,Arctornis l-nigrum okurai
裳蛾科,M,Mecodina albodentata
螟蛾科,H,Herculia pelasgalis
裳蛾科,R,Rivula aequalis
枯葉蛾科,D,Dendrolimus punctatus
夜蛾科,C,Callopistria placodoides
螟蛾科,A,Arippara indicator
尺蛾科,S,Sarcinodes mongaku
尺蛾科,E,Ecliptopera umbrosaria stathera
尺蛾科,H,Hypomecis cineracea
裳蛾科,D,Diduga nantouensis
天蛾科,A,Acosmeryx formosana
草螟蛾科,C,Cnaphalocrocis limbalis
草螟蛾科,R,Rhectothyris gratiosalis
裳蛾科,A,Asota caricae
尾夜蛾科,A,Aplotelia diplographa
裳蛾科,C,Cephena costata
尺蛾科,C,Corymica deducta
夜蛾科,M,Mimeusemia vilemani
燕蛾科,C,Chundana emarginata
夜蛾科,T,Thysanoplusia orichalcea
裳蛾科,I,Ilema kosemponica
鉤蛾科,T,Thyatira batis formosicola
裳蛾科,C,Calyptra minuticornis bisacutum
舟蛾科,S,Semidonta basalis
天蛾科,M,Macroglossum pyrrhosticta
尺蛾科,N,Nadagara vagaia
尺蛾科,A,Agaraeus discolor
裳蛾科,P,Psimada quadripennis
